iter	Passed	Remaining
528	731	651
529	733	650
530	734	648
531	735	646
532	736	645
533	738	644
534	740	643
535	741	642
536	743	641
537	745	640
538	747	638
539	748	638
540	750	637
541	752	635
542	753	634
543	754	632
544	755	630
545	756	629
546	759	628
547	760	627
548	762	626
549	763	624
550	765	623
551	766	622
552	767	620
553	769	619
554	770	617
555	771	616
556	774	615
557	775	614
558	777	613
559	778	612
560	780	610
561	781	608
562	782	607
563	783	605
564	784	603
565	785	602
566	788	602
567	790	601
568	792	600
569	794	599
570	795	597
571	796	596
572	798	595
573	799	593
574	802	593
575	804	591
576	805	590
577	807	589
578	808	588
579	810	586
580	811	585
581	812	583
582	813	581
583	814	580
584	817	579
585	818	578
586	819	576
587	821	575
588	822	574
589	824	572
590	825	571
591	826	569
592	827	567
593	828	566
594	830	565
595	832	564
596	834	563
597	835	561
598	836	560
599	838	558
600	839	557
601	841	556
602	842	554
603	845	554
604	846	552
605	847	550
606	848	549
607	850	548
608	851	546
609	852	545
610	854	543
611	855	542
612	856	540
613	858	539
614	859	538
615	861	536
616	862	535
617	863	534
618	865	532
619	867	531
620	868	529
621	869	528
622	870	526
623	870	524
624	872	523
625	874	522
626	875	520
627	876	519
628	877	517
629	879	516
630	880	514
631	881	513
632	882	511
633	883	510
634	884	508
635	886	507
636	888	506
637	890	505
638	891	503
639	893	502
640	894	500
641	895	499
642	897	498
643	898	496
644	899	495
645	901	493
646	903	492
647	905	491
648	906	490
649	908	489
650	909	487
651	911	486
652	913	485
653	914	483
654	917	483
655	919	482
656	920	480
657	924	480
658	927	479
659	928	478
660	930	477
661	933	476
662	936	475
663	938	474
664	939	473
665	940	471
666	942	470
667	943	468
668	946	468
669	947	466
670	949	465
671	951	464
672	952	462
673	953	461
674	954	459
675	955	458
676	958	457
677	959	455
678	961	454
679	963	453
680	964	451
681	966	450
682	967	449
683	968	447
684	969	446
685	971	444
686	972	443
687	975	442
688	976	440
689	978	439
690	980	438
691	982	437
692	983	435
693	985	434
694	986	432
695	988	431
696	990	430
697	992	429
698	994	428
699	996	427
700	997	425
701	999	424
702	1000	422
703	1003	422
704	1005	420
705	1006	419
706	1008	417
707	1009	416
708	1011	415
709	1012	413
710	1014	412
711	1015	410
712	1017	409
713	1018	408
714	1020	406
715	1022	405
716	1023	403
717	1024	402
718	1026	401
719	1027	399
720	1028	397
721	1029	396
722	1032	395
723	1033	393
724	1034	392
725	1035	390
726	1037	389
727	1038	387
728	1039	386
729	1040	384
730	1041	383
731	1042	381
732	1043	380
733	1045	378
734	1046	377
735	1047	375
736	1049	374
737	1049	372
738	1051	371
739	1052	369
740	1053	368
741	1054	366
742	1055	365
743	1056	363
744	1058	362
745	1059	360
746	1062	359
747	1063	358
748	1064	356
749	1065	355
750	1066	353
751	1067	352
752	1069	350
753	1070	349
754	1071	347
755	1072	346
756	1074	344
757	1075	343
758	1076	341
759	1077	340
760	1078	338
761	1079	337
762	1080	335
763	1082	334
764	1083	332
765	1084	331
766	1085	329
767	1086	328
768	1087	326
769	1088	325
770	1090	323
771	1091	322
772	1092	320
773	1093	319
774	1095	317
775	1096	316
776	1098	315
777	1099	313
778	1101	312
779	1102	310
780	1104	309
781	1106	308
782	1107	306
783	1108	305
784	1109	303
785	1111	302
786	1112	301
787	1113	299
788	1114	298
789	1115	296
790	1117	295
791	1118	293
792	1119	292
793	1120	290
794	1121	289
795	1122	287
796	1124	286
797	1127	285
798	1128	283
799	1129	282
800	1130	280
801	1132	279
802	1133	278
803	1135	276
804	1136	275
805	1137	273
806	1138	272
807	1139	270
808	1140	269
809	1141	267
810	1143	266
811	1144	265
812	1146	263
813	1147	262
814	1149	260
815	1150	259
816	1151	257
817	1153	256
818	1154	255
819	1155	253
820	1156	252
821	1157	250
822	1158	249
823	1160	247
824	1161	246
825	1162	244
826	1163	243
827	1164	241
828	1165	240
829	1166	239
830	1167	237
831	1168	236
832	1169	234
833	1170	233
834	1172	231
835	1173	230
836	1175	228
837	1176	227
838	1178	226
839	1179	224
840	1180	223
841	1181	221
842	1182	220
843	1183	218
844	1184	217
845	1185	215
846	1186	214
847	1187	212
848	1188	211
849	1190	210
850	1191	208
851	1192	207
852	1194	205
853	1195	204
854	1196	202
855	1197	201
856	1198	200
857	1199	198
858	1201	197
859	1202	195
860	1203	194
861	1204	192
862	1206	191
863	1207	190
864	1208	188
865	1209	187
866	1211	185
867	1212	184
868	1213	182
869	1214	181
870	1216	180
871	1217	178
872	1218	177
873	1219	175
874	1221	174
875	1222	172
876	1223	171
877	1224	170
878	1226	168
879	1227	167
880	1228	165
881	1229	164
882	1230	163
883	1231	161
884	1232	160
885	1233	158
886	1234	157
887	1236	155
888	1237	154
889	1238	153
890	1239	151
891	1241	150
892	1242	148
893	1243	147
894	1244	146
895	1246	144
896	1248	143
897	1249	141
898	1250	140
899	1251	139
900	1252	137
901	1253	136
902	1255	134
903	1256	133
904	1257	132
905	1258	130
906	1260	129
907	1261	127
908	1262	126
909	1263	124
910	1264	123
911	1265	122
912	1266	120
913	1268	119
914	1269	117
915	1270	116
916	1271	115
917	1273	113
918	1274	112
919	1276	111
920	1277	109
921	1278	108
922	1280	106
923	1281	105
924	1282	104
925	1284	102
926	1285	101
927	1286	99
928	1287	98
929	1289	97
930	1291	95
931	1292	94
932	1294	92
933	1295	91
934	1297	90
935	1298	88
936	1299	87
937	1300	85
938	1302	84
939	1303	83
940	1305	81
941	1306	80
942	1307	79
943	1308	77
944	1309	76
945	1311	74
946	1312	73
947	1313	72
948	1314	70
949	1315	69
950	1316	67
951	1318	66
952	1320	65
953	1321	63
954	1322	62
955	1324	60
956	1325	59
957	1327	58
958	1328	56
959	1330	55
960	1331	54
961	1334	52
962	1335	51
963	1336	49
964	1338	48
965	1339	47
966	1340	45
967	1341	44
968	1343	42
969	1344	41
970	1345	40
971	1347	38
972	1348	37
973	1350	36
974	1351	34
975	1353	33
976	1354	31
977	1355	30
978	1357	29
979	1358	27
980	1359	26
981	1361	24
982	1363	23
983	1364	22
984	1365	20
985	1367	19
986	1368	18
987	1370	16
988	1371	15
989	1372	13
990	1374	12
991	1376	11
992	1378	9
993	1379	8
994	1381	6
995	1382	5
996	1384	4
997	1385	2
998	1386	1
999	1388	0
